HSCode,Commodity,value,country,year
5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",0,AFGHANISTAN TIS,2018
7,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,12.38,AFGHANISTAN TIS,2018
8,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,268.6,AFGHANISTAN TIS,2018
9,"COFFEE, TEA, MATE AND SPICES.",35.48,AFGHANISTAN TIS,2018
11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,,AFGHANISTAN TIS,2018
12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",8.32,AFGHANISTAN TIS,2018
13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",108.78,AFGHANISTAN TIS,2018
20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",0.65,AFGHANISTAN TIS,2018
25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",0.05,AFGHANISTAN TIS,2018
27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",0,AFGHANISTAN TIS,2018
39,PLASTIC AND ARTICLES THEREOF.,,AFGHANISTAN TIS,2018
41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,0,AFGHANISTAN TIS,2018
49,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.",,AFGHANISTAN TIS,2018
51,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.",0.17,AFGHANISTAN TIS,2018
52,COTTON.,0.01,AFGHANISTAN TIS,2018
57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,0.02,AFGHANISTAN TIS,2018
68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",0.01,AFGHANISTAN TIS,2018
71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",0.01,AFGHANISTAN TIS,2018
72,IRON AND STEEL,0.02,AFGHANISTAN TIS,2018
74,COPPER AND ARTICLES THEREOF.,0.36,AFGHANISTAN TIS,2018
81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,0,AFGHANISTAN TIS,2018
82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",,AFGHANISTAN TIS,2018
84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",0,AFGHANISTAN TIS,2018
85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",0.56,AFGHANISTAN TIS,2018
90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",0.02,AFGHANISTAN TIS,2018
96,MISCELLANEOUS MANUFACTURED ARTICLES.,0,AFGHANISTAN TIS,2018
97,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,,AFGHANISTAN TIS,2018
98,PROJECT GOODS; SOME SPECIAL USES.,,AFGHANISTAN TIS,2018
99,MISCELLANEOUS GOODS.,,AFGHANISTAN TIS,2018
7,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,10.74,AFGHANISTAN TIS,2017
8,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,274.79,AFGHANISTAN TIS,2017
9,"COFFEE, TEA, MATE AND SPICES.",33.66,AFGHANISTAN TIS,2017
11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,0,AFGHANISTAN TIS,2017
12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",8.9,AFGHANISTAN TIS,2017
13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",103.33,AFGHANISTAN TIS,2017
20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",2.01,AFGHANISTAN TIS,2017
25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",0.12,AFGHANISTAN TIS,2017
38,MISCELLANEOUS CHEMICAL PRODUCTS.,,AFGHANISTAN TIS,2017
39,PLASTIC AND ARTICLES THEREOF.,0,AFGHANISTAN TIS,2017
42,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",,AFGHANISTAN TIS,2017
49,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.",0.01,AFGHANISTAN TIS,2017
51,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.",0.09,AFGHANISTAN TIS,2017
57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,0.01,AFGHANISTAN TIS,2017
70,GLASS AND GLASSWARE.,,AFGHANISTAN TIS,2017
71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",0.08,AFGHANISTAN TIS,2017
82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",0,AFGHANISTAN TIS,2017
84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",,AFGHANISTAN TIS,2017
85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",0.01,AFGHANISTAN TIS,2017
86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL",,AFGHANISTAN TIS,2017
90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",,AFGHANISTAN TIS,2017
97,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,0.02,AFGHANISTAN TIS,2017
98,PROJECT GOODS; SOME SPECIAL USES.,0,AFGHANISTAN TIS,2017
99,MISCELLANEOUS GOODS.,,AFGHANISTAN TIS,2017
7,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,12.32,AFGHANISTAN TIS,2016
8,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,167.24,AFGHANISTAN TIS,2016
9,"COFFEE, TEA, MATE AND SPICES.",26.06,AFGHANISTAN TIS,2016
12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",6.69,AFGHANISTAN TIS,2016
13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",80.05,AFGHANISTAN TIS,2016
20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",0.1,AFGHANISTAN TIS,2016
25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",0.08,AFGHANISTAN TIS,2016
27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",,AFGHANISTAN TIS,2016
38,MISCELLANEOUS CHEMICAL PRODUCTS.,0,AFGHANISTAN TIS,2016
